id;entidad;accion;fecha;descripcion
1;coexist;whereas legislature;2026-01-25T00:09:46;consequently yuck whenever
2;glittering gah begonia;structure provided excepting;2026-01-24T14:30:56;bobble
3;cheese um dramatize;meanwhile worth foolish;2026-01-24T23:23:57;airport impish
4;from;flame ick reckless;2026-01-24T20:44:19;hollow proper upon
5;unlike aside;afore slimy but;2026-01-24T12:20:44;nor hm
6;soggy sometimes oddly;zowie explode surprise;2026-01-24T08:56:41;transom putrefy
7;depend punctually where;a knowledgeable always;2026-01-24T13:57:20;besides modulo fragrant
8;fat eventually;shaft yahoo qua;2026-01-24T16:57:42;inasmuch
9;whoa;sleepily bah;2026-01-24T20:03:42;yuppify
10;coil limply excepting;rear daintily;2026-01-24T15:20:29;beneath overfeed pfft
